epoch,train_loss,ang_train,ang_val,val_loss,val_mse,PCK@0.005,PCK@0.01,PCK@0.02,PCK@0.05
1,0.226437,28.678,25.579,0.24553,179258.92,0.0,0.0,0.0,0.0
2,0.214355,36.173,35.741,0.22015,244476.83,0.0,0.0,0.0,0.0
3,0.206594,39.379,119.776,0.205784,272744.88,0.0,0.0,0.0,0.0
4,0.200239,54.653,43.951,0.197759,262128.41,0.0,0.0,0.0,0.0
5,0.194767,62.432,49.838,0.192626,238693.09,0.0,0.0,0.0,1.7
6,0.188542,63.006,45.931,0.186421,231382.64,0.0,0.0,3.3,3.3
7,0.182716,77.904,34.122,0.180624,258858.16,1.7,1.7,1.7,1.7
8,0.176822,100.202,45.005,0.174983,304807.41,0.0,0.0,0.0,0.0
9,0.171421,73.357,41.24,0.169943,270877.81,0.0,0.0,0.0,0.0
10,0.166193,31.118,44.703,0.164215,288811.28,0.0,0.0,0.0,0.0
11,0.16108,65.155,55.213,0.159166,299926.94,0.0,0.0,0.0,0.0
12,0.15601,64.743,79.242,0.153763,268169.62,0.0,0.0,0.0,0.0
13,0.150849,68.344,101.614,0.147854,253920.31,0.0,0.0,0.0,0.0
14,0.145822,70.313,16.136,0.143727,232849.52,0.0,0.0,0.0,0.0
15,0.140652,79.107,27.356,0.13767,258286.41,0.0,0.0,0.0,0.0
16,0.1358,56.594,72.321,0.133245,253484.55,0.0,0.0,0.0,1.7
17,0.130859,63.765,45.429,0.128032,226937.31,0.0,0.0,0.0,0.0
18,0.126019,55.23,38.796,0.123374,268320.78,0.0,0.0,0.0,0.0
19,0.121266,55.184,35.385,0.119081,260952.59,0.0,0.0,0.0,0.0
20,0.116661,54.639,20.661,0.114612,264962.84,0.0,0.0,0.0,0.0
21,0.112432,54.895,14.016,0.110187,237789.94,0.0,0.0,0.0,0.0
22,0.108342,49.387,10.475,0.106329,277902.5,0.0,0.0,1.7,1.7
23,0.104418,45.089,15.913,0.102242,219960.81,0.0,0.0,0.0,0.0
24,0.100644,47.395,45.635,0.098821,185595.84,0.0,0.0,0.0,3.3
25,0.09696,46.077,12.686,0.094918,234595.42,0.0,1.7,1.7,1.7
26,0.093486,42.979,35.817,0.091607,216430.94,0.0,0.0,1.7,1.7
27,0.090234,35.354,37.441,0.089529,158526.14,0.0,0.0,0.0,0.0
28,0.087052,32.658,21.774,0.085186,266489.84,0.0,0.0,0.0,0.0
29,0.083817,39.015,23.768,0.082365,275738.53,0.0,0.0,0.0,0.0
30,0.080858,39.955,23.883,0.078983,294933.12,0.0,0.0,0.0,0.0
31,0.077946,45.093,35.488,0.076189,277765.19,0.0,0.0,0.0,0.0
32,0.075196,43.812,37.203,0.073561,285135.0,0.0,0.0,0.0,0.0
33,0.072537,42.397,22.07,0.071019,274593.47,0.0,0.0,0.0,0.0
34,0.070053,38.626,60.08,0.068577,278029.62,0.0,0.0,0.0,0.0
35,0.06752,33.287,33.467,0.066217,247715.47,0.0,0.0,0.0,3.3
36,0.06518,35.336,58.055,0.063792,247895.89,0.0,0.0,0.0,0.0
37,0.062931,38.214,36.393,0.061239,244615.17,0.0,0.0,0.0,1.7
38,0.060864,31.283,40.111,0.060318,196349.25,0.0,0.0,0.0,5.0
39,0.058773,30.911,27.761,0.056889,219489.81,0.0,0.0,0.0,1.7
40,0.056545,30.177,18.715,0.055108,232726.95,0.0,0.0,0.0,1.7
41,0.054365,28.742,25.674,0.053063,283318.47,0.0,0.0,0.0,0.0
42,0.052293,24.406,25.772,0.05094,283420.81,0.0,0.0,0.0,0.0
43,0.050272,19.762,9.529,0.048986,283458.84,0.0,0.0,0.0,0.0
44,0.048302,24.3,8.602,0.047092,289702.03,0.0,0.0,0.0,0.0
45,0.046438,32.931,15.611,0.045154,293156.12,0.0,0.0,0.0,0.0
46,0.044602,25.127,25.447,0.043435,288557.78,0.0,0.0,0.0,0.0
47,0.042812,46.044,17.771,0.041923,288691.88,0.0,0.0,0.0,0.0
48,0.041219,41.799,19.247,0.040264,293593.56,0.0,0.0,0.0,0.0
49,0.039655,43.593,17.453,0.038754,288595.22,0.0,0.0,0.0,0.0
50,0.038209,48.688,6.067,0.03721,308739.38,0.0,0.0,0.0,0.0
51,0.036842,42.787,21.336,0.03596,286499.06,0.0,0.0,0.0,0.0
52,0.035552,38.007,11.065,0.034611,288035.59,0.0,0.0,0.0,0.0
53,0.034309,30.868,15.046,0.033604,287940.78,0.0,0.0,0.0,0.0
54,0.033101,42.782,7.615,0.032578,288887.94,0.0,0.0,0.0,0.0
55,0.031929,40.546,14.371,0.031308,305770.78,0.0,0.0,0.0,0.0
56,0.030832,40.676,6.067,0.030197,308739.38,0.0,0.0,0.0,0.0
57,0.029808,41.441,7.647,0.029109,311414.84,0.0,0.0,0.0,0.0
58,0.028796,41.634,7.647,0.028188,311414.84,0.0,0.0,0.0,0.0
59,0.027877,39.779,7.647,0.02722,311414.84,0.0,0.0,0.0,0.0
60,0.027358,29.163,28.973,0.02595,243671.36,0.0,0.0,0.0,0.0
61,0.026233,23.415,9.792,0.026,352105.97,0.0,0.0,0.0,0.0
62,0.025309,29.942,9.792,0.024982,352105.97,0.0,0.0,0.0,0.0
63,0.024465,29.472,9.792,0.023965,352105.97,0.0,0.0,0.0,0.0
64,0.023617,35.52,9.792,0.022914,352105.97,0.0,0.0,0.0,0.0
65,0.022788,38.901,9.792,0.022386,352105.97,0.0,0.0,0.0,0.0
66,0.022015,41.355,9.792,0.021586,352105.97,0.0,0.0,0.0,0.0
67,0.021256,46.804,9.792,0.020818,352105.97,0.0,0.0,0.0,0.0
68,0.020577,45.541,9.792,0.020229,352105.97,0.0,0.0,0.0,0.0
69,0.019997,42.344,9.792,0.019444,352105.97,0.0,0.0,0.0,0.0
70,0.019358,29.637,9.792,0.018819,352105.97,0.0,0.0,0.0,0.0
71,0.018736,35.465,9.792,0.018448,352105.97,0.0,0.0,0.0,0.0
72,0.018147,35.617,9.792,0.017808,352105.97,0.0,0.0,0.0,0.0
73,0.01759,39.408,9.792,0.01726,352105.97,0.0,0.0,0.0,0.0
74,0.017053,38.035,9.792,0.016746,352105.97,0.0,0.0,0.0,0.0
75,0.016538,41.956,9.792,0.016261,352105.97,0.0,0.0,0.0,0.0
76,0.016044,39.358,10.975,0.015703,313041.59,0.0,0.0,0.0,0.0
77,0.015566,37.735,14.698,0.01525,313261.28,0.0,0.0,0.0,0.0
78,0.015092,45.919,15.681,0.014852,313192.53,0.0,0.0,0.0,0.0
79,0.014641,44.475,22.422,0.014347,312612.0,0.0,0.0,0.0,0.0
80,0.014223,47.923,9.958,0.013883,356180.09,0.0,0.0,0.0,0.0
