metric,cv_published,cv_regenerated,cv_delta,cv_within_noise,test_published,test_regenerated,test_delta
Mean absolute error (°),0.46,0.45,-0.005,True,0.48,0.41,-0.068
Median absolute error (°),0.41,0.41,-0.003,True,0.45,0.32,-0.134
SD of absolute error (°),0.31,0.31,0.003,True,0.35,0.35,0.003
Maximum absolute error (°),1.37,1.37,0.002,True,1.06,1.34,0.282
RMSE (°),0.55,0.55,0.001,True,0.59,0.53,-0.057
"ICC(2,1)",0.992,0.992,0.0003,True,0.987,0.989,0.0024
Pearson r,0.993,0.993,-0.0001,True,0.987,0.989,0.0017
Within ±1.63° (%),100.0,100.0,0.0,True,100.0,100.0,0.0
Bland–Altman bias (°),-0.06,-0.07,-0.007,True,,-0.05,
95% LoA low (°),-1.14,-1.14,-0.004,True,,-1.13,
95% LoA high (°),1.02,1.01,-0.009,True,,1.04,
ICC 95% CI,(0.99-0.99),(0.99-0.99),,,(0.96-1.00),(0.96-1.00),
