band,deformity,limbs,pct
1.0,varus,76,71.02803738317756
1.0,normal,13,12.149532710280374
1.0,valgus,18,16.822429906542055
2.0,varus,66,61.6822429906542
2.0,normal,27,25.233644859813083
2.0,valgus,14,13.084112149532709
3.0,varus,59,55.140186915887845
3.0,normal,34,31.775700934579437
3.0,valgus,14,13.084112149532709
4.0,varus,52,48.598130841121495
4.0,normal,47,43.925233644859816
4.0,valgus,8,7.476635514018691
5.0,varus,38,35.51401869158878
5.0,normal,63,58.87850467289719
5.0,valgus,6,5.607476635514018
